0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.15	0.00	0.30	0.00	0.00	0.00	0.05	0.00	0.00	0.15	0.15	0.10	0.00
0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.00	0.25	0.00
0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.15	0.00	0.25	0.00	0.20	0.00	0.00
0.00	0.20	0.00	0.00	0.10	0.00	0.00	0.00	0.10	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.10	0.00
0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.30	0.30	0.10	0.10	0.00	0.00	0.00
0.00	0.00	0.00	0.10	0.10	0.00	0.00	0.00	0.00	0.00	0.15	0.10	0.40	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00
0.00	0.10	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00
0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.30	0.00
0.10	0.05	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10	0.05	0.00
0.00	0.14	0.00	0.00	0.14	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14	0.14	0.00	0.14	0.00
0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.50	0.00
0.22	0.18	0.00	0.00	0.00	0.22	0.18	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.17	0.00	0.00	0.17	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.17	0.00	0.00	0.17	0.00
0.00	0.20	0.00	0.00	0.20	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20	0.00	0.00	0.00	0.00
0.00	0.10	0.00	0.00	0.35	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.10	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.10	0.00	0.30	0.00	0.30	0.00	0.00	0.10	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.25	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.15	0.00	0.15	0.00	0.00	0.00	0.00	0.20	0.00	0.20	0.00
0.00	0.40	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
